class_id;class_name;class_desc
ph;Proyecto Hardware;""
ia;Inteligencia Artificial;""
ing_soft;Ingeniería del Software;"
Problemas: https://meet.google.com/ijq-umtk-ewp?pli=1&authuser=1"
sist_info;Sistemas de Información;""
ssdd;Sistemas Distribuidos;""
