weekday;class_id;start_hour;end_hour;desc
Xx;ph;10:00;14:00;"
- Compañeros: Carlos
- Google Meet: https://meet.google.com/iac-dfzy-kwb?pli=1&authuser=1
- Google Meet privado: https://meet.google.com/xfi-bemu-raa?pli=1&authuser=1"
Ja;ia;17:00;20:00;"
- Google Meet: https://meet.google.com/iig-sbwa-kdn?pli=1&authuser=1"
Jb;ing_soft;17:00;19:00;"
- Compañeros: Carlos
- Google Meet: https://meet.google.com/fsi-kspo-ifv?pli=1&authuser=1
- Google Meet privado: https://meet.google.com/rpi-fgre-wce?pli=1&authuser=1"
Va;ssdd;10:00;12:00;"
- Compañeros: Mario
- Google Meet: https://meet.google.com/ijq-umtk-ewp?pli=1&authuser=1"
Vx;sist_info;12:00;14:00;"
- Compañeros: Carlos, Mario
- Google Meet: https://meet.google.com/ooo-gnvy-zyw?pli=1&authuser=1
- Google Meet privado: https://meet.google.com/pxd-yhzu-zrk?pli=1&authuser=1"
